species	family	gff	filtered	fpc	fnc	tpc	short	node
Anolis_carolinensis	Mir-142	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-143	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-144	2	2	1	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-145	3	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-146	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-147	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-148	3	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-15	7	5	0	0	5	aca	Olfactores
Anolis_carolinensis	Mir-150	2	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-153	2	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-155	2	2	1	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-1662	1	1	0	0	1	aca	Tetrapoda
Anolis_carolinensis	Mir-1677	36	2	0	0	2	aca	Diapsida
Anolis_carolinensis	Mir-17	6	6	0	0	6	aca	Vertebrata
Anolis_carolinensis	Mir-1720	1	1	0	0	1	aca	Diapsida
Anolis_carolinensis	Mir-1788	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-1805	1	1	0	0	1	aca	Tetrapoda
Anolis_carolinensis	Mir-181	6	6	0	0	6	aca	Vertebrata
Anolis_carolinensis	Mir-184	1	1	0	0	1	aca	Bilateria
Anolis_carolinensis	Mir-187	1	1	0	0	1	aca	Osteichthyes
Anolis_carolinensis	Mir-19	3	3	0	0	3	aca	Vertebrata
Anolis_carolinensis	Mir-190	2	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-191	1	1	0	0	1	aca	Gnathostomata
Anolis_carolinensis	Mir-192	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-193	5	2	0	0	2	aca	Bilateria
Anolis_carolinensis	Mir-194	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-196	3	3	0	0	3	aca	Olfactores
Anolis_carolinensis	Mir-199	4	3	0	0	3	aca	Vertebrata
Anolis_carolinensis	Mir-202	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-203	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-204	2	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-205	3	2	0	0	2	aca	Vertebrata
Anolis_carolinensis	Mir-208	1	1	0	0	1	aca	Vertebrata
Anolis_carolinensis	Mir-21	1	1	0	0	1	aca	Vertebrata
