species	family	node	filtered_hits	short
Eptatretus_burgeri	Mir-202	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-203	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-204	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-205	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-208	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-21	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-210	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-216	Bilateria	2	E.burgeri
Eptatretus_burgeri	Mir-217	Chordata	2	E.burgeri
Eptatretus_burgeri	Mir-218	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-219	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-22	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-221	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-223	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-23	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-24	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-26	Vertebrata	3	E.burgeri
Eptatretus_burgeri	Mir-27	Vertebrata	2	E.burgeri
Eptatretus_burgeri	Mir-281	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-29	Bilateria	4	E.burgeri
Eptatretus_burgeri	Mir-30	Vertebrata	6	E.burgeri
Eptatretus_burgeri	Mir-31	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-33	Bilateria	1	E.burgeri
Eptatretus_burgeri	Mir-338	Vertebrata	3	E.burgeri
Eptatretus_burgeri	Mir-34	Bilateria	3	E.burgeri
Eptatretus_burgeri	Mir-375	Bilateria	2	E.burgeri
Eptatretus_burgeri	Mir-451	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-455	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-456	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-459	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-499	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-7	Bilateria	4	E.burgeri
Eptatretus_burgeri	Mir-8	Bilateria	3	E.burgeri
Eptatretus_burgeri	Mir-875	Vertebrata	1	E.burgeri
Eptatretus_burgeri	Mir-9	Bilateria	4	E.burgeri
Eptatretus_burgeri	Mir-92	Bilateria	4	E.burgeri
Eptatretus_burgeri	Mir-96	Bilateria	3	E.burgeri
Gadus_morhua	Let-7	Bilateria	20	G.morhua
Gadus_morhua	Mir-1	Bilateria	3	G.morhua
Gadus_morhua	Mir-10	Eumetazoa	13	G.morhua
Gadus_morhua	Mir-101	Vertebrata	2	G.morhua
Gadus_morhua	Mir-103	Deuterostomia	2	G.morhua
Gadus_morhua	Mir-122	Vertebrata	1	G.morhua
Gadus_morhua	Mir-124	Bilateria	5	G.morhua
Gadus_morhua	Mir-126	Olfactores	1	G.morhua
Gadus_morhua	Mir-128	Vertebrata	3	G.morhua
Gadus_morhua	Mir-129	Chordata	4	G.morhua
Gadus_morhua	Mir-130	Vertebrata	6	G.morhua
Gadus_morhua	Mir-1306	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-132	Vertebrata	4	G.morhua
Gadus_morhua	Mir-133	Bilateria	3	G.morhua
Gadus_morhua	Mir-135	Chordata	5	G.morhua
Gadus_morhua	Mir-137	Bilateria	3	G.morhua
Gadus_morhua	Mir-138	Vertebrata	3	G.morhua
Gadus_morhua	Mir-1388	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-139	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-140	Vertebrata	1	G.morhua
Gadus_morhua	Mir-142	Vertebrata	2	G.morhua
Gadus_morhua	Mir-143	Vertebrata	1	G.morhua
Gadus_morhua	Mir-144	Vertebrata	1	G.morhua
Gadus_morhua	Mir-145	Vertebrata	1	G.morhua
Gadus_morhua	Mir-146	Vertebrata	1	G.morhua
Gadus_morhua	Mir-148	Vertebrata	2	G.morhua
Gadus_morhua	Mir-15	Olfactores	4	G.morhua
Gadus_morhua	Mir-150	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-153	Bilateria	3	G.morhua
Gadus_morhua	Mir-155	Vertebrata	1	G.morhua
Gadus_morhua	Mir-17	Vertebrata	10	G.morhua
Gadus_morhua	Mir-1788	Vertebrata	1	G.morhua
Gadus_morhua	Mir-181	Vertebrata	8	G.morhua
Gadus_morhua	Mir-184	Bilateria	2	G.morhua
Gadus_morhua	Mir-187	Osteichthyes	1	G.morhua
Gadus_morhua	Mir-19	Vertebrata	6	G.morhua
Gadus_morhua	Mir-190	Bilateria	3	G.morhua
Gadus_morhua	Mir-191	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-192	Vertebrata	1	G.morhua
Gadus_morhua	Mir-193	Bilateria	2	G.morhua
Gadus_morhua	Mir-194	Vertebrata	2	G.morhua
Gadus_morhua	Mir-196	Olfactores	3	G.morhua
Gadus_morhua	Mir-199	Vertebrata	4	G.morhua
Gadus_morhua	Mir-202	Vertebrata	1	G.morhua
Gadus_morhua	Mir-203	Vertebrata	2	G.morhua
Gadus_morhua	Mir-204	Vertebrata	3	G.morhua
Gadus_morhua	Mir-205	Vertebrata	2	G.morhua
Gadus_morhua	Mir-208	Vertebrata	1	G.morhua
Gadus_morhua	Mir-21	Vertebrata	2	G.morhua
Gadus_morhua	Mir-210	Bilateria	1	G.morhua
Gadus_morhua	Mir-214	Gnathostomata	2	G.morhua
Gadus_morhua	Mir-216	Bilateria	2	G.morhua
Gadus_morhua	Mir-217	Chordata	1	G.morhua
Gadus_morhua	Mir-218	Vertebrata	3	G.morhua
Gadus_morhua	Mir-2184	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-2188	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-219	Bilateria	3	G.morhua
Gadus_morhua	Mir-22	Bilateria	3	G.morhua
Gadus_morhua	Mir-221	Vertebrata	4	G.morhua
Gadus_morhua	Mir-223	Vertebrata	1	G.morhua
Gadus_morhua	Mir-23	Vertebrata	4	G.morhua
Gadus_morhua	Mir-24	Vertebrata	5	G.morhua
Gadus_morhua	Mir-26	Vertebrata	5	G.morhua
Gadus_morhua	Mir-27	Vertebrata	5	G.morhua
Gadus_morhua	Mir-29	Bilateria	8	G.morhua
Gadus_morhua	Mir-30	Vertebrata	6	G.morhua
Gadus_morhua	Mir-31	Bilateria	1	G.morhua
Gadus_morhua	Mir-33	Bilateria	2	G.morhua
Gadus_morhua	Mir-338	Vertebrata	3	G.morhua
Gadus_morhua	Mir-34	Bilateria	2	G.morhua
Gadus_morhua	Mir-375	Bilateria	1	G.morhua
Gadus_morhua	Mir-425	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-455	Vertebrata	2	G.morhua
Gadus_morhua	Mir-456	Vertebrata	1	G.morhua
Gadus_morhua	Mir-458	Osteichthyes	1	G.morhua
Gadus_morhua	Mir-459	Vertebrata	1	G.morhua
Gadus_morhua	Mir-460	Osteichthyes	2	G.morhua
Gadus_morhua	Mir-489	Osteichthyes	1	G.morhua
Gadus_morhua	Mir-499	Vertebrata	1	G.morhua
Gadus_morhua	Mir-551	Vertebrata	1	G.morhua
Gadus_morhua	Mir-7	Bilateria	5	G.morhua
Gadus_morhua	Mir-722	Osteichthyes	2	G.morhua
Gadus_morhua	Mir-725	Gnathostomata	1	G.morhua
Gadus_morhua	Mir-727	Osteichthyes	2	G.morhua
Gadus_morhua	Mir-737	Osteichthyes	1	G.morhua
Gadus_morhua	Mir-8	Bilateria	3	G.morhua
Gadus_morhua	Mir-9	Bilateria	7	G.morhua
Gadus_morhua	Mir-92	Bilateria	3	G.morhua
Gadus_morhua	Mir-96	Bilateria	3	G.morhua
Latimeria_chalumnae	Let-7	Bilateria	14	L.chalumne
Latimeria_chalumnae	Mir-1	Bilateria	4	L.chalumne
Latimeria_chalumnae	Mir-10	Eumetazoa	10	L.chalumne
Latimeria_chalumnae	Mir-101	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-103	Deuterostomia	4	L.chalumne
Latimeria_chalumnae	Mir-122	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-124	Bilateria	4	L.chalumne
Latimeria_chalumnae	Mir-126	Olfactores	1	L.chalumne
Latimeria_chalumnae	Mir-128	Vertebrata	3	L.chalumne
Latimeria_chalumnae	Mir-129	Chordata	3	L.chalumne
Latimeria_chalumnae	Mir-130	Vertebrata	11	L.chalumne
Latimeria_chalumnae	Mir-1306	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-132	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-1329	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-133	Bilateria	5	L.chalumne
Latimeria_chalumnae	Mir-135	Chordata	3	L.chalumne
Latimeria_chalumnae	Mir-137	Bilateria	2	L.chalumne
Latimeria_chalumnae	Mir-138	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-1388	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-139	Gnathostomata	1	L.chalumne
Latimeria_chalumnae	Mir-140	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-142	Vertebrata	2	L.chalumne
Latimeria_chalumnae	Mir-143	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-144	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-145	Vertebrata	1	L.chalumne
Latimeria_chalumnae	Mir-146	Vertebrata	3	L.chalumne
