family	species	short	node	fpc	fnc	model	difference
Mir-216	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-217	Alligator_mississippiensis	ami	Chordata	0	0	mirmachine	NA
Mir-218	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-2184	Alligator_mississippiensis	ami	Gnathostomata	1	0	mirmachine	1
Mir-2188	Alligator_mississippiensis	ami	Gnathostomata	0	0	mirmachine	NA
Mir-219	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-22	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-221	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-223	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-23	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-24	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-26	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-27	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-29	Alligator_mississippiensis	ami	Bilateria	1	0	mirmachine	1
Mir-2970	Alligator_mississippiensis	ami	Sarcopterygii	0	0	mirmachine	NA
Mir-30	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-31	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-32	Alligator_mississippiensis	ami	Gnathostomata	0	0	mirmachine	NA
Mir-33	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-338	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-34	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-375	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-383	Alligator_mississippiensis	ami	Tetrapoda	0	0	mirmachine	NA
Mir-4057	Alligator_mississippiensis	ami	Chordata	0	0	mirmachine	NA
Mir-425	Alligator_mississippiensis	ami	Gnathostomata	0	0	mirmachine	NA
Mir-430	Alligator_mississippiensis	ami	Vertebrata	1	0	mirmachine	1
Mir-451	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-455	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-456	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-458	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
Mir-459	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-460	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
Mir-489	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
Mir-490	Alligator_mississippiensis	ami	Amniota	0	0	mirmachine	NA
Mir-499	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-551	Alligator_mississippiensis	ami	Vertebrata	0	0	mirmachine	NA
Mir-599	Alligator_mississippiensis	ami	Sarcopterygii	0	0	mirmachine	NA
Mir-7	Alligator_mississippiensis	ami	Bilateria	0	0	mirmachine	NA
Mir-722	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
Mir-737	Alligator_mississippiensis	ami	Osteichthyes	0	0	mirmachine	NA
